,label,파종기,정식기,초장,개화기,predict_kmeans,predict_dbscan,predict_hierarchy
0,3,314.0,429.0,150.0,526.0,1,-1,0
1,4,224.0,430.0,66.0,512.0,2,-1,2
2,3,224.0,430.0,58.0,512.0,2,-1,2
3,1,224.0,430.0,59.0,522.0,2,-1,2
4,1,314.0,429.0,150.0,526.0,1,-1,0
5,3,224.0,430.0,78.0,522.0,2,-1,2
6,1,314.0,429.0,140.0,529.0,1,-1,0
7,3,224.0,430.0,75.0,516.0,2,-1,2
8,1,306.0,508.0,124.69649122807017,588.074074074074,1,-1,0
9,1,314.0,429.0,170.0,602.0,1,-1,0
10,1,312.0,507.0,124.3,588.074074074074,1,-1,0
11,1,314.0,429.0,100.0,526.0,2,-1,0
12,1,306.0,508.0,95.0,524.0,1,-1,0
13,1,306.0,508.0,45.0,522.0,2,-1,0
14,1,306.0,508.0,125.0,531.0,1,-1,0
15,1,312.0,507.0,130.7,588.074074074074,1,-1,0
16,1,312.0,507.0,144.3,588.074074074074,1,-1,0
17,1,312.0,507.0,150.7,588.074074074074,1,-1,0
18,1,312.0,507.0,158.3,588.074074074074,1,-1,0
19,1,306.0,508.0,175.0,531.0,1,-1,0
20,1,306.0,508.0,125.0,607.0,1,-1,0
21,1,306.0,508.0,125.0,607.0,1,-1,0
22,1,306.0,508.0,125.0,607.0,1,-1,0
23,3,421.0,603.0,124.69649122807017,624.0,0,0,1
24,3,224.0,430.0,78.0,525.0,2,-1,2
25,3,224.0,430.0,82.0,531.0,2,-1,2
26,3,421.0,603.0,124.69649122807017,630.0,0,-1,1
27,1,224.0,430.0,72.0,526.0,2,-1,2
28,3,314.0,429.0,160.0,523.0,1,-1,0
29,1,421.0,603.0,124.69649122807017,627.0,0,1,1
30,1,224.0,430.0,89.0,531.0,2,-1,2
31,3,224.0,430.0,75.0,526.0,2,-1,2
32,1,314.0,429.0,150.0,526.0,1,-1,0
33,3,340.67021276595744,525.5744680851063,119.0,588.074074074074,1,-1,0
34,3,224.0,430.0,91.0,526.0,2,-1,2
35,2,314.0,429.0,150.0,523.0,1,-1,0
36,4,224.0,430.0,83.0,522.0,2,-1,2
37,3,421.0,603.0,124.69649122807017,627.0,0,1,1
38,3,224.0,430.0,91.0,516.0,2,-1,2
39,3,421.0,603.0,124.69649122807017,627.0,0,1,1
40,1,314.0,429.0,200.0,605.0,1,-1,0
41,4,421.0,603.0,124.69649122807017,624.0,0,0,1
42,3,421.0,603.0,124.69649122807017,627.0,0,1,1
43,3,421.0,603.0,124.69649122807017,624.0,0,0,1
44,4,421.0,603.0,124.69649122807017,624.0,0,0,1
45,3,421.0,603.0,124.69649122807017,624.0,0,0,1
46,3,421.0,603.0,124.69649122807017,620.0,0,-1,1
47,3,421.0,603.0,124.69649122807017,625.0,0,-1,1
48,3,421.0,603.0,124.69649122807017,624.0,0,0,1
49,3,421.0,603.0,124.69649122807017,620.0,0,-1,1
50,3,421.0,603.0,124.69649122807017,630.0,0,-1,1
51,3,421.0,603.0,124.69649122807017,628.0,0,-1,1
52,3,421.0,603.0,124.69649122807017,624.0,0,0,1
53,3,421.0,603.0,124.69649122807017,626.0,0,-1,1
54,3,421.0,603.0,124.69649122807017,629.0,0,-1,1
55,3,421.0,603.0,124.69649122807017,619.0,0,-1,1
56,3,421.0,603.0,124.69649122807017,629.0,0,-1,1
57,3,421.0,603.0,124.69649122807017,624.0,0,0,1
58,3,421.0,603.0,124.69649122807017,630.0,0,-1,1
59,3,421.0,603.0,124.69649122807017,626.0,0,-1,1
60,3,421.0,603.0,124.69649122807017,629.0,0,-1,1
61,3,421.0,603.0,124.69649122807017,701.0,0,-1,1
62,3,421.0,603.0,124.69649122807017,626.0,0,-1,1
63,3,421.0,603.0,124.69649122807017,629.0,0,-1,1
64,3,421.0,603.0,124.69649122807017,622.0,0,-1,1
65,3,421.0,603.0,124.69649122807017,624.0,0,0,1
66,3,421.0,603.0,124.69649122807017,626.0,0,-1,1
67,3,421.0,603.0,124.69649122807017,630.0,0,-1,1
68,3,421.0,603.0,124.69649122807017,627.0,0,1,1
69,2,306.0,508.0,175.0,524.0,1,-1,0
70,1,312.0,507.0,144.0,588.074074074074,1,-1,0
71,1,312.0,507.0,150.0,588.074074074074,1,-1,0
72,3,314.0,429.0,200.0,528.0,1,-1,0
73,1,312.0,507.0,143.7,588.074074074074,1,-1,0
74,1,312.0,507.0,138.7,588.074074074074,1,-1,0
75,4,312.0,507.0,107.0,588.074074074074,1,-1,0
76,1,225.0,514.0,124.69649122807017,615.0,1,-1,0
77,99,225.0,514.0,124.69649122807017,526.0,2,-1,0
78,1,421.0,603.0,124.69649122807017,720.0,0,-1,1
79,1,312.0,507.0,151.0,588.074074074074,1,-1,0
80,3,421.0,603.0,124.69649122807017,620.0,0,-1,1
81,3,421.0,603.0,124.69649122807017,625.0,0,-1,1
82,3,421.0,603.0,124.69649122807017,625.0,0,-1,1
83,3,421.0,603.0,124.69649122807017,701.0,0,-1,1
84,1,312.0,507.0,196.7,588.074074074074,1,-1,0
85,1,312.0,507.0,182.3,588.074074074074,1,-1,0
86,3,421.0,603.0,124.69649122807017,703.0,0,-1,1
87,1,312.0,507.0,137.3,588.074074074074,1,-1,0
88,1,312.0,507.0,176.7,588.074074074074,1,-1,0
89,1,306.0,508.0,175.0,522.0,1,-1,0
90,1,306.0,508.0,175.0,607.0,1,-1,0
91,1,306.0,508.0,175.0,607.0,1,-1,0
92,3,340.67021276595744,525.5744680851063,116.0,588.074074074074,1,-1,0
93,1,340.67021276595744,525.5744680851063,101.0,620.0,1,-1,0
94,1,340.67021276595744,525.5744680851063,91.0,604.0,1,-1,0
95,3,340.67021276595744,525.5744680851063,102.0,604.0,1,-1,0
