,label,파종기,정식기,개화기,착과형태,predict_kmeans,predict_dbscan,predict_hierarchy
0,3,314.0,429.0,526.0,2.0,0,-1,0
1,4,224.0,430.0,512.0,2.0,0,-1,0
2,3,224.0,430.0,512.0,2.0,0,-1,0
3,1,224.0,430.0,522.0,2.0,0,-1,0
4,1,314.0,429.0,526.0,2.0,0,-1,0
5,3,224.0,430.0,522.0,2.0,0,-1,0
6,1,314.0,429.0,529.0,2.0,0,-1,0
7,3,224.0,430.0,516.0,2.0,0,-1,0
8,1,306.0,508.0,631.7599039615847,1.938860103626943,2,-1,2
9,1,314.0,429.0,602.0,2.0,2,-1,0
10,1,312.0,507.0,631.7599039615847,2.0,2,0,2
11,1,314.0,429.0,526.0,3.0,0,-1,0
12,1,306.0,508.0,524.0,2.0,0,-1,0
13,1,306.0,508.0,522.0,1.0,0,-1,0
14,1,306.0,508.0,531.0,2.0,0,-1,0
15,1,312.0,507.0,631.7599039615847,4.0,2,1,2
16,1,312.0,507.0,631.7599039615847,4.0,2,1,2
17,1,312.0,507.0,631.7599039615847,4.0,2,1,2
18,1,312.0,507.0,631.7599039615847,4.0,2,1,2
19,1,306.0,508.0,531.0,2.0,0,-1,0
20,1,306.0,508.0,607.0,2.0,2,-1,2
21,1,306.0,508.0,607.0,1.0,2,-1,2
22,1,306.0,508.0,607.0,2.0,2,-1,2
23,3,421.0,603.0,624.0,2.0,1,2,1
24,3,224.0,430.0,525.0,2.0,0,-1,0
25,3,224.0,430.0,531.0,2.0,0,-1,0
26,3,421.0,603.0,630.0,2.0,1,-1,1
27,1,224.0,430.0,526.0,2.0,0,-1,0
28,3,314.0,429.0,523.0,2.0,0,-1,0
29,1,421.0,603.0,627.0,2.0,1,3,1
30,1,224.0,430.0,531.0,2.0,0,-1,0
31,3,224.0,430.0,526.0,2.0,0,-1,0
32,1,314.0,429.0,526.0,2.0,0,-1,0
33,3,348.0102774922919,531.5575888051668,631.7599039615847,2.0,2,-1,2
34,3,224.0,430.0,526.0,2.0,0,-1,0
