label,파종기,정식기,초장,생과중,성숙기..착색기.,개화기,착과형태,과폭,과장,천립중,주경장,엽장,엽폭,과실.속살의.두께,과실.심실의.수,절간장
3,314,429,150,13.1,NA,526,2,2,8.6,12.5,27,7.3,3.3,1.8,NA,NA
4,224,430,66,NA,NA,512,2,NA,8.5,7.6,1,6.2,2.4,NA,NA,4.1
3,224,430,58,NA,NA,512,2,NA,8.7,7.4,1,7.6,3.8,NA,NA,3.1
1,224,430,59,NA,NA,522,2,NA,9.1,8,1.1,8.8,4.3,NA,NA,5.9
1,314,429,150,15.8,NA,526,2,1.9,9.6,8.5,17,9.3,4.2,2.1,NA,NA
3,224,430,78,NA,NA,522,2,NA,9.4,8,1.1,5.6,2.7,NA,NA,6.4
1,314,429,140,15.2,NA,529,2,2.2,10.5,8,24,10.5,5,1.8,NA,NA
3,224,430,75,NA,NA,516,2,NA,7.6,6.2,1.2,7.3,3.6,NA,NA,4.9
1,306,508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,314,429,170,10.1,NA,602,2,1.9,11.3,4.5,38,10.7,4.8,1,NA,NA
1,312,507,124.3,NA,NA,NA,2,NA,13.4,NA,NA,NA,NA,NA,NA,NA
1,314,429,100,17,NA,526,3,2,11.7,7,14,12.2,8.3,1.9,NA,NA
1,306,508,95,28.8,709,524,2,3.4,12,NA,NA,NA,NA,2.4,NA,NA
1,306,508,45,23.1,703,522,1,2.7,11.3,NA,NA,NA,NA,2.7,NA,NA
1,306,508,125,14.2,719,531,2,1.6,14,NA,NA,NA,NA,1.7,NA,NA
1,312,507,130.7,NA,NA,NA,4,NA,8.8,NA,NA,NA,NA,NA,NA,NA
1,312,507,144.3,NA,NA,NA,4,NA,9.3,NA,NA,NA,NA,NA,NA,NA
1,312,507,150.7,NA,NA,NA,4,NA,11.1,NA,NA,NA,NA,NA,NA,NA
1,312,507,158.3,NA,NA,NA,4,NA,12.8,NA,NA,NA,NA,NA,NA,NA
1,306,508,175,8.2,719,531,2,2,7.6,NA,NA,NA,NA,1.1,NA,NA
1,306,508,125,49.8,719,607,2,4.1,10.7,NA,NA,NA,NA,4.5,NA,NA
1,306,508,125,62.2,725,607,1,5.9,7.1,NA,NA,NA,NA,4,NA,NA
1,306,508,125,73.9,725,607,2,4,17.1,NA,NA,NA,NA,3.1,NA,NA
3,421,603,NA,NA,NA,624,2,NA,9.6,NA,26.4,NA,NA,1.5,NA,NA
3,224,430,78,NA,NA,525,2,NA,4.2,5.6,1.1,8.8,4.6,NA,NA,5.1
3,224,430,82,NA,NA,531,2,NA,7.2,7.4,1.1,6.8,3.1,NA,NA,5.9
3,421,603,NA,NA,NA,630,2,NA,5,NA,31,NA,NA,0.9,NA,NA
1,224,430,72,NA,NA,526,2,NA,6.3,6.6,0.9,7.1,3.6,NA,NA,4.4
3,314,429,160,6,NA,523,2,1.8,5.9,5,24,8.5,4,1.3,NA,NA
1,421,603,NA,NA,NA,627,2,NA,8.4,NA,34.5,NA,NA,1.9,NA,NA
1,224,430,89,NA,NA,531,2,NA,6.6,7.2,1,8.4,4.3,NA,NA,5.4
3,224,430,75,NA,NA,526,2,NA,5.9,8.6,1,6.2,3.1,NA,NA,5.7
1,314,429,150,12.3,NA,526,2,2.1,7.7,8.5,17,10.3,5.5,1.7,NA,NA
3,NA,NA,119,NA,NA,NA,2,NA,7.1,7,28.9,NA,NA,1.7,2.2,NA
3,224,430,91,NA,NA,526,2,NA,5.4,6.2,1,5.9,3.1,NA,NA,4.5
2,314,429,150,5.7,NA,523,2,1.6,5.3,5.5,25,6.5,3.4,1.2,NA,NA
4,224,430,83,NA,NA,522,2,NA,6.2,6.8,0.9,7.1,3.5,NA,NA,6.2
3,421,603,NA,NA,NA,627,2,NA,9,NA,25.4,NA,NA,1.4,NA,NA
3,224,430,91,NA,NA,516,2,NA,5.9,6.6,0.9,8.6,3.5,NA,NA,4.9
3,421,603,NA,NA,NA,627,NA,NA,9.8,NA,20.1,NA,NA,1.9,NA,NA
1,314,429,200,7.9,NA,605,2,2,6.7,6,51,8.8,4.5,1.1,NA,NA
4,421,603,NA,NA,NA,624,2,NA,10.6,NA,22.2,NA,NA,1.3,NA,NA
3,421,603,NA,NA,NA,627,2,NA,11,NA,33.5,NA,NA,1.1,NA,NA
3,421,603,NA,NA,NA,624,2,NA,8.8,NA,30.2,NA,NA,2.1,NA,NA
4,421,603,NA,NA,NA,624,2,NA,9.7,NA,27.8,NA,NA,1.6,NA,NA
3,421,603,NA,NA,NA,624,2,NA,11.1,NA,27.8,NA,NA,1.4,NA,NA
3,421,603,NA,NA,NA,620,2,NA,9.9,NA,31.4,NA,NA,2.6,NA,NA
3,421,603,NA,NA,NA,625,2,NA,9.1,NA,49,NA,NA,1.4,NA,NA
3,421,603,NA,NA,NA,624,2,NA,7.2,NA,35,NA,NA,1.2,NA,NA
3,421,603,NA,NA,NA,620,2,NA,11.5,NA,43.5,NA,NA,1.1,NA,NA
3,421,603,NA,NA,NA,630,2,NA,6.6,NA,49.8,NA,NA,1.3,NA,NA
3,421,603,NA,NA,NA,628,2,NA,7.7,NA,47.2,NA,NA,1.4,NA,NA
3,421,603,NA,NA,NA,624,NA,NA,10.8,NA,29.5,NA,NA,1.7,NA,NA
3,421,603,NA,NA,NA,626,2,NA,7.3,NA,35.5,NA,NA,1.2,NA,NA
3,421,603,NA,NA,NA,629,2,NA,9.2,NA,31,NA,NA,1.9,NA,NA
3,421,603,NA,NA,NA,619,2,NA,10,NA,28,NA,NA,1.9,NA,NA
3,421,603,NA,NA,NA,629,2,NA,7.1,NA,40.5,NA,NA,1,NA,NA
3,421,603,NA,NA,NA,624,2,NA,8.4,NA,37,NA,NA,1.5,NA,NA
3,421,603,NA,NA,NA,630,2,NA,9.2,NA,37,NA,NA,1.5,NA,NA
3,421,603,NA,NA,NA,626,2,NA,9.5,NA,54,NA,NA,1.1,NA,NA
3,421,603,NA,NA,NA,629,2,NA,8.7,NA,41,NA,NA,0.9,NA,NA
3,421,603,NA,NA,NA,701,2,NA,8.1,NA,42.5,NA,NA,1.2,NA,NA
3,421,603,NA,NA,NA,626,2,NA,8.7,NA,34,NA,NA,1.3,NA,NA
3,421,603,NA,NA,NA,629,2,NA,9.3,NA,36.2,NA,NA,1.8,NA,NA
3,421,603,NA,NA,NA,622,2,NA,10.2,NA,35,NA,NA,1.8,NA,NA
3,421,603,NA,NA,NA,624,2,NA,9.2,NA,37,NA,NA,1.4,NA,NA
3,421,603,NA,NA,NA,626,2,NA,5.4,NA,33.4,NA,NA,1.1,NA,NA
3,421,603,NA,NA,NA,630,2,NA,9.4,NA,32,NA,NA,2.4,NA,NA
3,421,603,NA,NA,NA,627,2,NA,9.4,NA,26,NA,NA,1.5,NA,NA
2,306,508,175,11.2,725,524,2,1.9,7.7,NA,NA,NA,NA,1.9,NA,NA
1,312,507,144,NA,NA,NA,4,NA,9.8,NA,NA,NA,NA,NA,NA,NA
1,312,507,150,NA,NA,NA,4,NA,8.7,NA,NA,NA,NA,NA,NA,NA
3,314,429,200,12.9,NA,528,2,2.4,7.1,6.5,27,12,5.7,2.1,NA,NA
1,312,507,143.7,NA,NA,NA,2,NA,8.7,NA,NA,NA,NA,NA,NA,NA
1,312,507,138.7,NA,NA,NA,2,NA,11.3,NA,NA,NA,NA,NA,NA,NA
4,312,507,107,NA,NA,NA,2,NA,7.1,NA,NA,NA,NA,NA,NA,NA
